id	est_id	gene_id	fbgn	cgname	stage	image_id	image_path	ant_x	ant_y	post_x	post_y	lat_x	lat_y	slice_index	stack_path
84	LD06546-dg	CG5371	FBgn0011703	CG5371	1	7536	insitu7536.tif	912	298	798	417	902	375	24	AU10-13_f0018.tif
84	LD06546-dg	CG5371	FBgn0011703	CG5371	2	7540	insitu7540.tif	800	337	702	374	759	403	22	AU10-13_f0018.tif
84	LD06546-dg	CG5371	FBgn0011703	CG5371	2	7544	insitu7544.tif	683	370	618	211	718	262	21	AU10-13_f0018.tif
84	LD06546-dg	CG5371	FBgn0011703	CG5371	2	7558	insitu7558.tif	569	286	354	143	525	159	21	AU10-13_f0018.tif
84	LD06546-dg	CG5371	FBgn0011703	CG5371	1	7539	insitu7539.tif	618	550	481	581	564	616	20	AU10-13_f0011.tif
84	LD06546-dg	CG5371	FBgn0011703	CG5371	2	7545	insitu7545.tif	296	496	159	345	282	384	18	AU10-13_f0011.tif
84	LD06546-dg	CG5371	FBgn0011703	CG5371	2	7546	insitu7546.tif	472	511	344	487	430	450	17	AU10-13_f0011.tif
84	LD06546-dg	CG5371	FBgn0011703	CG5371	3	7562	insitu7562.tif	58	308	361	117	122	139	17	AU10-13_f0011.tif
84	LD06546-dg	CG5371	FBgn0011703	CG5371	4	7569	insitu7569.tif	298	327	986	155	673	411	14	AU10-13_f0011.tif
95	GM01233-dg	CG9677	FBgn0025582	CG9677	2	7331	insitu7331.tif	816	457	633	93	851	250	13	Au10-2_f0010.tif
899	LD43883-dg	CG2031	FBgn0037382	CG2031	1	4168	insitu4168.tif	1025	82	882	178	908	106	17	AU22-35-38-45-46_f0011.tif
899	LD43883-dg	CG2031	FBgn0037382	CG2031	2	4174	insitu4174.tif	583	262	367	407	536	419	16	AU22-35-38-45-46_f0011.tif
899	LD43883-dg	CG2031	FBgn0037382	CG2031	2	4184	insitu4184.tif	730	205	599	350	726	335	19	AU22-35-38-45-46_f0011.tif
899	LD43883-dg	CG2031	FBgn0037382	CG2031	2	4185	insitu4185.tif	846	208	730	266	750	173	19	AU22-35-38-45-46_f0011.tif
914	LD46418-dg	CG4852	FBgn0029121	CG4852	2	4358	insitu4358.tif	388	644	415	365	275	491	17	AU22-50_f0010.tif
914	LD46418-dg	CG4852	FBgn0029121	CG4852	3	4370	insitu4370.tif	400	361	948	47	823	320	19	AU22-50_f0010.tif
